,Manufaturer,Sales,Year,Quarter,Index,Ratio
6079,    Great Wall Motor Co Ltd,,2009,Q3,,
6080,    Guangzhou Automobile Group Co Ltd,,2009,Q3,,
6081,    Honda Motor Co Ltd,,2009,Q3,-0.411155898,-0.411155898
6082,    Hyundai Motor Co,,2009,Q3,,
6083,    Kia Motors Corp,,2009,Q3,,
6084,    Mazda Motor Corp,,2009,Q3,-4.097613381,-4.097613381
6085,    Mitsubishi Motors Corp,,2009,Q3,-1.52811264,-1.52811264
6086,    Nissan Motor Co Ltd,,2009,Q3,-0.905080605,-0.905080605
6087,    Peugeot SA,,2009,Q3,,
6088,    Renault SA,,2009,Q3,,
6089,    SAIC Motor Corp Ltd,,2009,Q3,,
6090,    Sanyang Motor Co Ltd,,2009,Q3,,
6091,    Sollers PJSC,,2009,Q3,,
6092,    Ssangyong Motor Co,,2009,Q3,,
6093,    Subaru Corp,,2009,Q3,-1.250751812,-1.250751812
6094,    Suzuki Motor Corp,,2009,Q3,0.357677923,0.357677923
6095,    Tata Motors Ltd,,2009,Q3,-0.265730244,-0.265730244
6096,    Tesla Inc,,2009,Q3,,
6097,    Tianjin Faw Xiali Automobile Co Ltd,,2009,Q3,0.000835729,0.000835729
6098,    Tofas Turk Otomobil Fabrikasi AS,,2009,Q3,,
6099,    Toyota Motor Corp,,2009,Q3,-2.782874482,-2.782874482
6100,    Volkswagen AG,,2009,Q3,5.617793466,5.617793466
6101,    AUDI AG,,2009,Q2,,
6102,    Avtovaz PJSC,,2009,Q2,,
6103,    Bayerische Motoren Werke AG,,2009,Q2,-0.964372992,-0.964372992
6104,    Brilliance China Automotive Holdings Ltd,,2009,Q2,,
6105,    BYD Co Ltd,,2009,Q2,,
6106,    Chongqing Changan Automobile Co Ltd,,2009,Q2,,
6107,    Daihatsu Motor Co Ltd,,2009,Q2,0.386834014,0.386834014
6108,    Daimler AG,,2009,Q2,-3.150443693,-3.150443693
6109,    Dongfeng Motor Group Co Ltd,,2009,Q2,,
6110,    DRB-Hicom Bhd,,2009,Q2,,
6111,    FAW CAR Co Ltd,,2009,Q2,,
6112,    Fiat Chrysler Automobiles NV,,2009,Q2,,
6113,    Ford Motor Co,,2009,Q2,-4.229895,-4.229895
6114,    Ford Otomotiv Sanayi AS,,2009,Q2,,
6115,    GAZ PJSC,,2009,Q2,,
6116,    Geely Automobile Holdings Ltd,,2009,Q2,,
6117,    General Motors Co,,2009,Q2,,
6118,    Great Wall Motor Co Ltd,,2009,Q2,,
6119,    Guangzhou Automobile Group Co Ltd,,2009,Q2,,
6120,    Honda Motor Co Ltd,,2009,Q2,0.030675903,0.030675903
6121,    Hyundai Motor Co,,2009,Q2,,
6122,    Kia Motors Corp,,2009,Q2,,
6123,    Mazda Motor Corp,,2009,Q2,-3.457807969,-3.457807969
6124,    Mitsubishi Motors Corp,,2009,Q2,-1.283140719,-1.283140719
6125,    Nissan Motor Co Ltd,,2009,Q2,-0.756484439,-0.756484439
6126,    Peugeot SA,,2009,Q2,,
6127,    Renault SA,,2009,Q2,,
6128,    SAIC Motor Corp Ltd,,2009,Q2,,
6129,    Sanyang Motor Co Ltd,,2009,Q2,,
6130,    Sollers PJSC,,2009,Q2,,
6131,    Ssangyong Motor Co,,2009,Q2,,
6132,    Subaru Corp,,2009,Q2,-1.155140647,-1.155140647
6133,    Suzuki Motor Corp,,2009,Q2,0.378956636,0.378956636
6134,    Tata Motors Ltd,,2009,Q2,-0.385085646,-0.385085646
6135,    Tesla Inc,,2009,Q2,,
6136,    Tianjin Faw Xiali Automobile Co Ltd,,2009,Q2,,
6137,    Tofas Turk Otomobil Fabrikasi AS,,2009,Q2,,
6138,    Toyota Motor Corp,,2009,Q2,-2.28018959,-2.28018959
6139,    Volkswagen AG,,2009,Q2,9.230777607,9.230777607
6140,    AUDI AG,,2009,Q1,,
6141,    Avtovaz PJSC,,2009,Q1,,
6142,    Bayerische Motoren Werke AG,,2009,Q1,-0.167644283,-0.167644283
6143,    Brilliance China Automotive Holdings Ltd,,2009,Q1,,
6144,    BYD Co Ltd,,2009,Q1,,
6145,    Chongqing Changan Automobile Co Ltd,,2009,Q1,,
6146,    Daihatsu Motor Co Ltd,,2009,Q1,0.557177905,0.557177905
6147,    Daimler AG,,2009,Q1,-0.397553515,-0.397553515
6148,    Dongfeng Motor Group Co Ltd,,2009,Q1,,
6149,    DRB-Hicom Bhd,,2009,Q1,,
6150,    FAW CAR Co Ltd,,2009,Q1,,
6151,    Fiat Chrysler Automobiles NV,,2009,Q1,,
6152,    Ford Motor Co,,2009,Q1,-4.604264,-4.604264
6153,    Ford Otomotiv Sanayi AS,,2009,Q1,,
6154,    GAZ PJSC,,2009,Q1,,
6155,    Geely Automobile Holdings Ltd,,2009,Q1,,
6156,    General Motors Co,,2009,Q1,,
6157,    Great Wall Motor Co Ltd,,2009,Q1,,
6158,    Guangzhou Automobile Group Co Ltd,,2009,Q1,,
6159,    Honda Motor Co Ltd,,2009,Q1,0.972885917,0.972885917
6160,    Hyundai Motor Co,,2009,Q1,,
6161,    Kia Motors Corp,,2009,Q1,,
6162,    Mazda Motor Corp,,2009,Q1,-2.060548267,-2.060548267
6163,    Mitsubishi Motors Corp,,2009,Q1,-0.655956557,-0.655956557
6164,    Nissan Motor Co Ltd,,2009,Q1,-0.564674417,-0.564674417
6165,    Peugeot SA,,2009,Q1,,
6166,    Renault SA,,2009,Q1,,
6167,    SAIC Motor Corp Ltd,,2009,Q1,,
6168,    Sanyang Motor Co Ltd,,2009,Q1,,
6169,    Sollers PJSC,,2009,Q1,,
6170,    Ssangyong Motor Co,,2009,Q1,,
6171,    Subaru Corp,,2009,Q1,-0.860798159,-0.860798159
6172,    Suzuki Motor Corp,,2009,Q1,0.832770554,0.832770554
6173,    Tata Motors Ltd,,2009,Q1,-0.300659292,-0.300659292
6174,    Tesla Inc,,2009,Q1,,
6175,    Tianjin Faw Xiali Automobile Co Ltd,,2009,Q1,,
6176,    Tofas Turk Otomobil Fabrikasi AS,,2009,Q1,,
6177,    Toyota Motor Corp,,2009,Q1,-0.848756764,-0.848756764
6178,    Volkswagen AG,,2009,Q1,14.39011357,14.39011357
6179,    AUDI AG,,2008,Q4,,
6180,    Avtovaz PJSC,,2008,Q4,,
6181,    Bayerische Motoren Werke AG,,2008,Q4,1.253500779,1.253500779
6182,    Brilliance China Automotive Holdings Ltd,,2008,Q4,,
6183,    BYD Co Ltd,,2008,Q4,,
6184,    Chongqing Changan Automobile Co Ltd,,2008,Q4,,
6185,    Daihatsu Motor Co Ltd,,2008,Q4,,
6186,    Daimler AG,,2008,Q4,3.651110821,3.651110821
6187,    Dongfeng Motor Group Co Ltd,,2008,Q4,,
6188,    DRB-Hicom Bhd,,2008,Q4,,
6189,    FAW CAR Co Ltd,,2008,Q4,,
6190,    Fiat Chrysler Automobiles NV,,2008,Q4,,
6191,    Ford Motor Co,,2008,Q4,-3.83,-3.83
6192,    Ford Otomotiv Sanayi AS,,2008,Q4,,
6193,    GAZ PJSC,,2008,Q4,,
6194,    Geely Automobile Holdings Ltd,,2008,Q4,,
6195,    General Motors Co,,2008,Q4,,
6196,    Great Wall Motor Co Ltd,,2008,Q4,,
6197,    Guangzhou Automobile Group Co Ltd,,2008,Q4,,
6198,    Honda Motor Co Ltd,,2008,Q4,,
6199,    Hyundai Motor Co,,2008,Q4,,
6200,    Kia Motors Corp,,2008,Q4,,
6201,    Mazda Motor Corp,,2008,Q4,,
6202,    Mitsubishi Motors Corp,,2008,Q4,,
6203,    Nissan Motor Co Ltd,,2008,Q4,0.442101741,0.442101741
6204,    Peugeot SA,,2008,Q4,,
6205,    Renault SA,,2008,Q4,,
6206,    SAIC Motor Corp Ltd,,2008,Q4,,
6207,    Sanyang Motor Co Ltd,,2008,Q4,,
6208,    Sollers PJSC,,2008,Q4,,
6209,    Ssangyong Motor Co,,2008,Q4,,
6210,    Subaru Corp,,2008,Q4,,
6211,    Suzuki Motor Corp,,2008,Q4,,
6212,    Tata Motors Ltd,,2008,Q4,,
6213,    Tesla Inc,,2008,Q4,,
6214,    Tianjin Faw Xiali Automobile Co Ltd,,2008,Q4,,
6215,    Tofas Turk Otomobil Fabrikasi AS,,2008,Q4,,
6216,    Toyota Motor Corp,,2008,Q4,,
6217,    Volkswagen AG,,2008,Q4,17.31447842,17.31447842
6218,    AUDI AG,,2008,Q3,,
6219,    Avtovaz PJSC,,2008,Q3,,
6220,    Bayerische Motoren Werke AG,,2008,Q3,,
6221,    Brilliance China Automotive Holdings Ltd,,2008,Q3,,
6222,    BYD Co Ltd,,2008,Q3,,
6223,    Chongqing Changan Automobile Co Ltd,,2008,Q3,,
6224,    Daihatsu Motor Co Ltd,,2008,Q3,,
6225,    Daimler AG,,2008,Q3,5.514153752,5.514153752
6226,    Dongfeng Motor Group Co Ltd,,2008,Q3,,
6227,    DRB-Hicom Bhd,,2008,Q3,,
6228,    FAW CAR Co Ltd,,2008,Q3,,
6229,    Fiat Chrysler Automobiles NV,,2008,Q3,,
6230,    Ford Motor Co,,2008,Q3,-2.15,-2.15
6231,    Ford Otomotiv Sanayi AS,,2008,Q3,,
6232,    GAZ PJSC,,2008,Q3,,
6233,    Geely Automobile Holdings Ltd,,2008,Q3,,
6234,    General Motors Co,,2008,Q3,,
6235,    Great Wall Motor Co Ltd,,2008,Q3,,
6236,    Guangzhou Automobile Group Co Ltd,,2008,Q3,,
6237,    Honda Motor Co Ltd,,2008,Q3,,
6238,    Hyundai Motor Co,,2008,Q3,,
6239,    Kia Motors Corp,,2008,Q3,,
6240,    Mazda Motor Corp,,2008,Q3,,
6241,    Mitsubishi Motors Corp,,2008,Q3,,
6242,    Nissan Motor Co Ltd,,2008,Q3,,
6243,    Peugeot SA,,2008,Q3,,
6244,    Renault SA,,2008,Q3,,
6245,    SAIC Motor Corp Ltd,,2008,Q3,,
6246,    Sanyang Motor Co Ltd,,2008,Q3,,
6247,    Sollers PJSC,,2008,Q3,,
6248,    Ssangyong Motor Co,,2008,Q3,,
6249,    Subaru Corp,,2008,Q3,,
6250,    Suzuki Motor Corp,,2008,Q3,,
6251,    Tata Motors Ltd,,2008,Q3,,
6252,    Tesla Inc,,2008,Q3,,
6253,    Tianjin Faw Xiali Automobile Co Ltd,,2008,Q3,,
6254,    Tofas Turk Otomobil Fabrikasi AS,,2008,Q3,,
6255,    Toyota Motor Corp,,2008,Q3,,
